provider,offer_state,offer_created,offer_id,buuid,trading_name,business_type,industry_l1,industry_l2,industry_l3,retail_location,intended_product,primary_service,province,current_transaction_profile,current_size,owner_nationality
Lulalend,5. offer rejected : provider,2021-10-12 11:34:42,72dc87da-35de-44f7-a193-b4a71aea1f32,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,Leigh`s Motor Spares,Company,Retail,Retail transport,Automotive Parts/Accessories,Yoco Online,In-Person,Card Machine,Free State,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-10-13 02:56:53,1634093813199-9b90b482-96e5-4af2-b46b-9abb83494d18,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,Leigh`s Motor Spares,Company,Retail,Retail transport,Automotive Parts/Accessories,Yoco Online,In-Person,Card Machine,Free State,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-10-11 15:50:38,1633967437980-cb3da9ca-31ac-4b94-aeb2-0ed7b31d7c12,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,Leigh`s Motor Spares,Company,Retail,Retail transport,Automotive Parts/Accessories,Yoco Online,In-Person,Card Machine,Free State,Daily,5 - small_2,South African
Lulalend,5. offer rejected : provider,2021-10-12 01:34:21,1af4db19-7c20-4cb2-a8b6-57c259d5e5bd,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,Leigh`s Motor Spares,Company,Retail,Retail transport,Automotive Parts/Accessories,Yoco Online,In-Person,Card Machine,Free State,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-10-12 04:56:11,1634014570806-76040cdb-f66e-419d-a157-4875cf32e613,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,Leigh`s Motor Spares,Company,Retail,Retail transport,Automotive Parts/Accessories,Yoco Online,In-Person,Card Machine,Free State,Daily,5 - small_2,South African
Retail Capital,5. offer rejected : provider,2021-10-14 11:52:58,1634212378077-2e175287-6937-4e6b-a634-73f813ec064d,1509109286074-0c36ba7d-023c-4694-85ec-3e0b6fdcacbc,Royal Beauty Treatments,Company,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Online,In-Person,Card Machine,Western Cape,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-10-11 15:15:54,1633965354492-6e1ad9b9-6335-45e5-88cc-db99a78934d4,1509109286074-0c36ba7d-023c-4694-85ec-3e0b6fdcacbc,Royal Beauty Treatments,Company,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Online,In-Person,Card Machine,Western Cape,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-10-11 10:54:35,1633949675472-95da52c3-540c-49ae-af0e-c40be9a3b18d,1509109286074-0c36ba7d-023c-4694-85ec-3e0b6fdcacbc,Royal Beauty Treatments,Company,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Online,In-Person,Card Machine,Western Cape,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-10-11 14:43:17,1633963397100-54eba9cb-52c6-46fd-a823-ff577cedc84e,1509109286074-0c36ba7d-023c-4694-85ec-3e0b6fdcacbc,Royal Beauty Treatments,Company,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Online,In-Person,Card Machine,Western Cape,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-10-11 12:29:08,1633955348463-b107bd63-4ba1-443c-9b98-6a13b1fd8d73,1509109286074-0c36ba7d-023c-4694-85ec-3e0b6fdcacbc,Royal Beauty Treatments,Company,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Yoco Online,In-Person,Card Machine,Western Cape,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-09-14 12:26:19,1631622379473-24ff7f89-9baa-4c03-b2fd-54f5db759201,1528872407651-d0238070-51a3-4f8c-8def-71767e9a403e,Battlefields Pub and Grubb Pty (Ltd),Company,"Food, drink and hospitality",Sit-in,Restaurant,Yoco Online,In-Person,Card Machine,Kwazulu-Natal,Daily,4 - small_1,South African
Retail Capital,5. offer rejected : provider,2021-10-30 13:36:25,1635600985443-7a970e8c-b4da-451f-9d8c-483db38ff563,1544155620645-a0a908a3-a68b-44b9-8a8a-0de96f725b25,Die Melkstal Karwas,Sole Proprietor,Retail,Other retail,Other Retail,Yoco Online,In-Person,Card Machine,Gauteng,Daily,3 - very_small,South African
Retail Capital,5. offer rejected : provider,2021-11-18 09:01:18,1637226077998-b0f2d241-0601-40e6-96b5-614c9fe0a87b,1551419277206-af393040-dd9d-4ab3-9601-a99aa2a9a649,ANTNICA ENTERPRISE,Sole Proprietor,"Food, drink and hospitality",Takeaway,Caterer,Yoco Online,In-Person,Card Machine,North West,Daily,3 - very_small,South African
